[0.18369403 8.09468174 0.14132959]
[0.18541868 8.170681   0.42831746]
[ 0.18337646  8.08068752 -0.14108525]
[0.21184395 8.08999348 0.14125977]
[0.21383399 8.16599083 0.42810813]
[ 0.21116345  8.06400681 -0.14080602]
[0.23996337 8.08520794 0.14118998]
[0.24221879 8.16120148 0.42789876]
[ 0.2393108   8.06322098 -0.14080602]
[0.26670763 8.08236885 0.14115506]
[0.26921511 8.15835667 0.4277941 ]
[ 0.26598215  8.0603838  -0.14077111]
[0.29499164 8.08338737 0.14118998]
[0.29754579 8.15337563 0.42758477]
[ 0.2940436   8.05740833 -0.14073621]
[0.32469702 8.0842495  0.14122488]
[0.32734725 8.15023518 0.4274801 ]
[ 0.3235735   8.05627632 -0.14073621]
[0.35308877 8.08706188 0.14129467]
[0.35570776 8.147048   0.42737544]
[ 0.35178038  8.05709553 -0.14077111]
[-0.91925675  8.60170174  0.15099823]
[-0.91203183  8.53409672 -0.14981145]
[-0.88347006  8.54916286  0.15002088]
[-0.87627572  8.47954464 -0.14879921]
[-0.84965032  8.51239872  0.14932278]
[-0.86488134  8.66499329  0.45636955]
[-0.84389073  8.45469475 -0.14831056]
[-0.81648147  8.47948456  0.14869452]
[-0.82467526  8.56457996  0.4509266 ]
[-0.81188154  8.43171215 -0.14785679]
[-0.78392214  8.45042419  0.14813602]
[-0.79237592  8.5415535   0.44956586]
[-0.78041255  8.41259193 -0.14747283]
[-0.75193119  8.4252243   0.14764737]
[-0.76060253  8.52238369  0.44841447]
[-0.74890924  8.39136314 -0.14705397]
[-0.72012579  8.39990425  0.1471587 ]
[-0.72897255  8.50309753  0.44726306]
[-0.71773452  8.37201118 -0.14667003]
[-0.68883407  8.37845039  0.14673984]
[-0.69765031  8.48568535  0.44621637]
[-0.68686783  8.3545351  -0.14632097]
[-0.65817159  8.36286259  0.14642569]
[-0.66645843  8.46815681  0.44516963]
[-0.65597504  8.33495331 -0.14593703]
[-0.6276263   8.34716225  0.14611155]
[-0.63539749  8.45051575  0.44412294]
[-0.6988923   9.29496956 -0.48850378]
[-0.62657672  8.33320332 -0.14586721]
[-0.59734166  8.33334541  0.1458323 ]
[-0.60461068  8.43475342  0.44318089]
[-0.66544294  9.28340816 -0.48777109]
[-0.59634084  8.31938362 -0.14558798]
[-0.56729716  8.32141495  0.14558798]
[-0.57394153  8.41887856  0.44223881]
[-0.63221866  9.27371788 -0.48714307]
[-0.56620908  8.30545425 -0.14530873]
[-0.53721416  8.30738068  0.14530873]
[-0.54339069  8.40289307  0.44129679]
[-0.59932798  9.26789665 -0.48672441]
[-0.53631085  8.29341125 -0.14506441]
[-0.50735819  8.29523277  0.14506441]
[-0.51308042  8.38879013  0.44045943]
[-0.56807071  9.28787327 -0.48766643]
[-0.50650364  8.28126144 -0.14482008]
[-0.47747841  8.28098202  0.14478515]
[-0.48299015  8.37657261  0.43972674]
[-0.53978544  9.36158276 -0.49143463]
[-0.47678781  8.26900482 -0.14457574]
[-0.4478125   8.26862049  0.14454082]
[-0.4529914   8.36424637  0.43899399]
[-0.51574486  9.52295685 -0.4998084 ]
